nombre,long,lat,hora,NO2
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 08:00:00,75
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 09:00:00,64
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 10:00:00,63
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 11:00:00,66
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 12:00:00,65
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 13:00:00,58
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 14:00:00,65
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 15:00:00,57
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 16:00:00,58
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 17:00:00,71
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 00:00:00,113
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 01:00:00,88
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 02:00:00,31
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 03:00:00,27
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 04:00:00,58
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 05:00:00,34
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 06:00:00,55
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 07:00:00,74
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 08:00:00,117
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 09:00:00,95
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 10:00:00,63
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 11:00:00,59
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 12:00:00,62
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 13:00:00,65
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 14:00:00,58
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 15:00:00,68
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 16:00:00,64
Cuatro Caminos,-3.707127777777778,40.445544444444444,2017-10-25 17:00:00,75
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 00:00:00,98
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 01:00:00,79
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 02:00:00,35
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 03:00:00,24
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 04:00:00,46
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 05:00:00,30
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 06:00:00,55
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 07:00:00,73
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 08:00:00,89
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 09:00:00,89
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 10:00:00,56
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 11:00:00,50
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 12:00:00,50
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 13:00:00,49
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 14:00:00,54
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 15:00:00,60
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 16:00:00,68
Barrio del Pilar,-3.7115416666666667,40.47822777777778,2017-10-25 17:00:00,82
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 00:00:00,86
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 01:00:00,49
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 02:00:00,37
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 03:00:00,39
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 04:00:00,29
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 05:00:00,31
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 06:00:00,54
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 07:00:00,70
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 08:00:00,71
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 09:00:00,73
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 10:00:00,62
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 11:00:00,55
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 12:00:00,46
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 13:00:00,43
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 14:00:00,46
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 15:00:00,41
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 16:00:00,44
Vallecas,-3.6515222222222223,40.388152777777776,2017-10-25 17:00:00,44
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 00:00:00,83
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 01:00:00,75
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 02:00:00,68
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 03:00:00,60
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 04:00:00,55
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 05:00:00,48
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 06:00:00,44
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 07:00:00,55
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 08:00:00,74
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 09:00:00,85
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 10:00:00,87
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 11:00:00,66
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 12:00:00,55
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 13:00:00,41
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 14:00:00,45
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 15:00:00,42
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 16:00:00,45
Mendez Alvaro,-3.6868250000000002,40.398113888888886,2017-10-25 17:00:00,33
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 00:00:00,98
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 01:00:00,58
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 02:00:00,25
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 03:00:00,20
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 04:00:00,23
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 05:00:00,18
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 06:00:00,30
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 07:00:00,53
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 08:00:00,74
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 09:00:00,72
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 10:00:00,51
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 11:00:00,54
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 12:00:00,59
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 13:00:00,61
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 14:00:00,47
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 15:00:00,65
